input,ingredient_name
"4 cloves garlic, minced",garlic
"2 shallots, peeled and finely diced",shallots
1 pound chanterelles,chanterelles
4 tablespoons unsalted butter,butter
1/4 teaspoon cream of tartar,cream tartar
1/2 cup whole milk,milk
"2 eggs, separated",eggs
1 teaspoon vanilla extract,vanilla
1 cup sugar,sugar
"8 tablespoons (1 stick) unsalted butter, at room temperature",butter
2 teaspoons baking powder, 
1/4 teaspoon salt,salt
1 1/2 cups all-purpose flour,allpurpose flour
1/4 cup fresh orange juice,orange
9 ounces (2 2/3 cups) fresh cranberries,cranberries
3/4 cup brown sugar,sugar
4 tablespoons (1/2 stick) unsalted butter,butter
1 tablespoon unsalted butter,butter
2 cups chicken or veal stock,stock
1/4 cup balsamic vinegar,balsamic vinegar
1/2 cup maple syrup,maple syrup
"1 shallot, minced",shallot
Olive oil,Olive oil
"6 turkey chops, cut 1 inch or more thick",turkey
1 tablespoon mustard seeds,mustard seeds
1/2 cup grated fresh ginger,ginger
"1 bulb garlic, cloves separated but unpeeled",garlic
20 whole peppercorns,peppercorns
2 bay leaves,bay leaves
"1 large onion, sliced",onion
1 tablespoon molasses,molasses
3 tablespoons coarse salt,salt
Zest of 2 oranges,oranges
1 cup maple syrup or honey,maple syrup
1 cup sour cream,cream
1/4 teaspoon sugar,sugar
Pinch salt,salt
"1 medium onion, minced, about 1/2 cup",onion
"1/3 cup neutral oil, like canola or grape seed",neutral oil
"12 fresh figs, washed and drained",figs
1 tablespoon good balsamic vinegar,balsamic vinegar
"2 ounces, approximately, of soft, fresh goat cheese",goat cheese
"1 lemon, cut in half and pulp removed as you would from a grapefruit",lemon
1 tablespoon fresh thyme or rosemary leaves (or 1 teaspoon crumbled dried leaves),leaves
1/4 cup extra virgin olive oil,olive oil
"6 cloves garlic, peeled and lightly crushed",garlic
1 fennel bulb,fennel
6 cups assorted olives,olives
Minced zest of 1 lemon,lemon
Salt and freshly ground black pepper,Salt black pepper
1/2 cup olive oil,olive oil
"1 clove garlic, peeled and lightly crushed",garlic
"2 tablespoons horseradish, or to taste",horseradish
3 tablespoons butter,butter
1 tablespoon vinegar,vinegar
1 cup ketchup,ketchup
"3 pounds large shrimp, peeled and deveined if desired",shrimp
1/2 teaspoon water,water
1 cup coarsely chopped walnuts,walnuts
1/2 teaspoon baking soda,soda
1 3/4 cups flour,flour
Grated peel of 1/2 orange,orange
1/4 teaspoon nutmeg,nutmeg
1 teaspoon ground cinnamon,cinnamon
1 teaspoon vanilla extract,vanilla
"1 egg, separated",egg
1/2 cup packed brown sugar,sugar
1 whole egg,egg
1/2 cup sugar,sugar
"1/2 cup butter or margarine, at room temperature",butter
2 tablespoons orange-flavored liqueur,liqueur
1/2 cup chopped pitted dates,dates
3/4 cups raisins,raisins
1/2 cup finely chopped walnuts,walnuts
1 cup raspberry jam,raspberry jam
1 cup shredded Cheddar cheese,Cheddar cheese
1/2 cup butter or margarine,butter
Pinch of salt,salt
3 tablespoons packed brown sugar,sugar
1 teaspoon baking powder, 
1 1/2 cups flour,flour
"Confectioners' sugar or cocoa, for dusting",Confectioners' sugar
"3 large eggs, at room temperature",eggs
1/2 cup sugar,sugar
1/2 cup butter,butter
3/4 cup sliced or julienned blanched almonds,almonds
"6 large, crisp double amaretti (or about 1/2 cup crushed amaretti)",amaretti
3 ounces high-quality bittersweet chocolate,chocolate
1 ounce unsweetened chocolate,chocolate
2/3 cup sliced or coarsely chopped almonds,almonds
1 cup semisweet chocolate chips,chocolate chips
1 3/4 cups flour,flour
1/4 cup unsweetened cocoa,cocoa
1 teaspoon vanilla extract,vanilla
Dash of salt,salt
2 tablespoons instant espresso powder,espresso
1 cup sugar,sugar
"1 cup butter, at room temperature",butter
1/4 teaspoon cloves,cloves
1 teaspoon cinnamon,cinnamon
1/2 teaspoon cardamom,cardamom
1 teaspoon almond extract,almond
1 cup pulverized almonds,almonds
3/4 cup sugar,sugar
2 egg whites,egg
2 teaspoons grated lemon rind,lemon rind
1 teaspoon vanilla extract,vanilla
1/2 cup superfine sugar,sugar
"1 cup butter, at room temperature",butter
2 pinches of salt,salt
"1 large egg, lightly beaten",egg
2 cups flour,flour
2 tablespoons chopped fresh mint,mint
1/2 tablespoon ground black pepper,black pepper
6 ounces ground lamb,lamb
"1/2 clove garlic, minced",garlic
5 tablespoons olive oil,olive oil
Pinch turmeric,turmeric
1 tablespoon salt,salt
1 2/3 cups couscous,couscous
2 cups chicken broth,chicken
6 medium Italian sweet peppers,peppers
1/4 cup freshly grated Parmesan cheese,Parmesan cheese
2 1/2 tablespoons bread crumbs,bread crumbs
1 tablespoon chopped fresh basil,basil
1 egg yolk,egg
1 large egg,egg
Freshly ground pepper to taste,pepper
10 ounces fresh goat cheese,goat cheese
"4 firm, medium tomatoes",tomatoes
"1/2 bunch Italian parsley, roughly chopped",parsley
"6 fresh plum tomatoes, seeded and diced large",plum tomatoes
"2 yellow bell peppers, cored, seeded and diced large",peppers
"2 red bell peppers, cored, seeded and diced large",peppers
2 dozen cultivated mussels,mussels
1 pound lump crab meat,crab meat
1 dozen sea scallops,sea scallops
"1 dozen small clams, washed",clams
"1 pound raw large shrimp, shelled and deveined",shrimp
"1 pound firm-fleshed fish such as red snapper, striped bass or sea bass, filleted and cut into bite-sized pieces",fish
12 egg whites,egg
1 tablespoon peppercorns,peppercorns
2 bay leaves,bay leaves
"10 plum tomatoes, fresh or canned, chopped",plum tomatoes
"1 cup red or green bell pepper, cored, seeded and chopped",pepper
"1 leek, washed and chopped",leek
"2 stalks celery, chopped",celery
"1 medium onion, chopped",onion
"1 pound firm-fleshed white fish (can be any nonoily fish, such as monkfish, flounder, sole, grouper or scallops)",fish
2 cups bottled clam juice,clam
2 cups dry white wine,wine
4 1/2 cups fish stock or bottled clam juice (see note),fish
1#12-ounce can plum tomatoes,plum tomatoes
"6 cloves garlic, chopped",garlic
1 bunch of parsley stems,parsley
"1 teaspoon, plus one pinch, dried thyme",thyme
"1 teaspoon, plus one pinch, dried oregano",oregano
1 teaspoon dried basil,basil
Salt and freshly ground pepper to taste,Salt pepper
"2 serrano or jalapeno peppers, seeded and chopped",peppers
"1 green bell pepper, cored, seeded and sliced",pepper
"1 red bell pepper, cored, seeded and sliced",pepper
"1 large onion, sliced",onion
1/4 cup olive oil,olive oil
4 large eggs,eggs
2 cups creme fraiche or heavy cream,creme fraiche
9 ounces bittersweet chocolate,chocolate
1 teaspoon vanilla extract,vanilla
1 quart milk,milk
1 teaspoon cornstarch,cornstarch
1/2 cup sugar,sugar
8 egg yolks,egg
Powdered confectioners' sugar for dusting,confectioners' sugar
1/2 cup plus 1 tablespoon sugar,sugar
"5 eggs, separated",eggs
1 tablespoon finely ground almonds,almonds
2 teaspoons vanilla extract,vanilla
Grated zest of one orange,orange
"7 ounces semi-sweet chocolate, cut up",chocolate
Parchment paper,Parchment paper
1 tablespoon flour,flour
7 tablespoons unsalted butter,butter
6 to 7 tablespoons ice water,water
"6 tablespoons chilled unsalted butter, diced",butter
6 tablespoons chilled vegetable shortening,vegetable shortening
3/4 teaspoon salt,salt
2 1/2 cups flour,flour
16 ounces tequila or vodka,tequila
1 tablespoon fresh lime juice,lime
Salt and freshly ground pepper to taste,Salt pepper
1 teaspoon fresh grated horseradish,horseradish
2 dashes Tabasco sauce,Tabasco
1 teaspoon of Worcestershire sauce,Worcestershire
1/2 teaspoon celery seeds,celery seeds
4 cups cold water,water
1/4 teaspoon red bell pepper flakes,pepper flakes
"1 small white onion, minced",onion
"1 red pepper, seeded and veined, chopped coarse",pepper
1 16-ounce can peeled Italian tomatoes,tomatoes
8 ounces Scotch,Scotch
1/2 tablespoon olive oil,olive oil
Salt and freshly ground black pepper to taste,Salt black pepper
"1 medium onion, diced",onion
"1 white turnip, peeled and diced",turnip
"2 carrots, peeled and diced",carrots
2 tablespoons butter,butter
1/2 cup barley,barley
8 cups cold water,water
3 pounds lamb stew meat with bone,lamb stew meat
8 ounces aquavit or vodka,aquavit
Salt and freshly ground pepper to taste,Salt pepper
2 gallons water,water
1/2 teaspoon salt,salt
1/2 teaspoon fresh thyme,thyme
1/2 bunch parsley,parsley
2 bay leaves,bay leaves
1/4 teaspoon ground allspice,allspice
12 black peppercorns,black peppercorns
1 rib celery,celery rib
"2 carrots, trimmed",carrots
"1 medium white onion, quartered",onion
3 pounds chicken parts or scraps,chicken parts
"3 pounds mushrooms, cleaned and quartered",mushrooms
2 tablespoons minced chives,chives
8 tablespoons salmon caviar,salmon caviar
1/2 cup sour cream,cream
1 egg yolk,egg yolk
1/8 teaspoon salt,salt
1/4 teaspoon sugar,sugar
1/2 stick (2 ounces) unsalted butter,butter
1 cup all-purpose flour,allpurpose flour
1 teaspoon peanut oil,peanut oil
2 tablespoons (about 1 ounce) beluga malossol caviar,beluga malossol caviar
4 tablespoons (about 2 ounces) salmon caviar,salmon caviar
"1/2 teaspoon potato starch or arrowroot, dissolved in 1 tablespoon cold water",potato starch
1/4 cup (4 tablespoons) heavy cream,cream
1/4 teaspoon freshly ground black pepper,black pepper
1/2 teaspoon salt,salt
"1/2 cup dry, fruity white wine",wine
2 medium leeks (about 12 ounces),leeks
1 pound (about 20) sea scallops,sea scallops
1 1/2 teaspoons chopped fresh tarragon leaves,tarragon leaves
1 1/2 teaspoons chopped parsley leaves,parsley leaves
1 teaspoon peanut oil,peanut oil
8 tablespoons (about 4 ounces) salmon caviar,salmon caviar
1/4 teaspoon freshly ground black pepper,black pepper
1/4 teaspoon salt,salt
2 tablespoons unsalted butter,butter
1 pound (about 10) small new potatoes,potatoes
2 tablespoons (about 1 ounce) osetra malossol caviar,osetra malossol caviar
2 tablespoons sour cream,cream
1/4 teaspoon freshly ground black pepper,black pepper
1/4 teaspoon salt,salt
6 large farm eggs (preferably from free-range chickens),eggs
3 tablespoons unsalted butter,butter
4 thin slices white bread,bread
4 lemon wedges,lemon wedges
4 tablespoons sour cream,cream
1 tablespoon chopped chives,chives
6 tablespoons (about 3 ounces) salmon caviar,salmon caviar
1/4 cup finely chopped onion,onion
"4 slices black Russian, dark pumpernickel, or Danish-style hard rye bread, about 4 to 5 inches in diameter",pumpernickel
2 hard-cooked eggs,eggs
Salt to taste,Salt
3 cups frozen corn,corn
"2 medium-ripe tomatoes or 4 plum tomatoes or 8 to 10 cherry tomatoes, cut in small pieces",tomatoes
"1/2 to 1 whole finely minced jalapeno, seeds removed",jalapeno
"2 medium zucchini, quartered and finely sliced",zucchini
"1 large onion, chopped",onion
3 tablespons chopped fresh coriander,coriander
1 tablespoon corn or canola oil,oil
1/2 cup low-fat ricotta,ricotta
1/2 cup nonfat plain yogurt,yogurt
1 teaspoon ground cumin,cumin
1 teaspoon ground coriander seed,coriander
1 cup canned mild green chilies,chilies
1/2 cup chicken stock,chicken
1 teaspoon minced garlic,garlic
"1 large onion, chopped",onion
"2 large chicken breasts, skinned and boned, about 2 pounds",chicken breasts
1 to 2 tablespoons corn or canola oil,oil
"2 scallions, finely chopped",scallions
"2 cups broccoli florets, cooked and drained",broccoli florets
1 tablespoon red-wine vinegar,redwine vinegar
4 teaspoons reduced-sodium soy sauce,soy
1/2 teaspoon hot sesame oil,sesame oil
1 teaspoon minced garlic,garlic
5 tablespoons water,water
3 tablespoons Chinese sesame paste or unsalted pure peanut butter,Chinese sesame
8 ounces fresh thin egg noodles,egg noodles
2 or 3 tablespoons fresh cilantro leaves,cilantro leaves
2 teaspoons cornstarch,cornstarch
1 cup chopped fresh pineapple,pineapple
1 1/2 teaspoons reduced-sodium soy sauce,soy
1/2 cup plus 3 tablespoons water,water
1 tablespoon sugar,sugar
1 tablespoon grated fresh ginger,ginger
2 tablespoons red-wine vinegar,redwine vinegar
Enough vegetable oil for light brushing of fish,vegetable oil
12 ounces swordfish,swordfish
"1/2 cup milk, approximately",milk
1 egg,egg
1 teaspoon vanilla extract,vanilla
"2 sticks chilled unsalted butter, cut into bits",butter
Pinch salt,salt
3/4 cup sugar,sugar
1 1/2 cups all-purpose flour,flour
1/2 cup cornstarch,cornstarch
1 bunch fresh cilantro,cilantro
Salt and freshly ground pepper to taste,Salt pepper
1/4 teaspoon ground coriander,coriander
1/2 cup labneh (strained yogurt),labneh
2 teaspoons pomegranate concentrate (optional),pomegranate concentrate
"3 large onions, sliced in rings",onions
1/4 cup extra virgin olive oil,olive oil
Peanut or canola oil for frying,oil
1/3 cup all-purpose flour,flour
1/4 cup finely chopped cilantro or parsley,cilantro
1/2 cup plain yogurt,yogurt
2 large eggs,eggs
1/8 teaspoon ground coriander,coriander
Salt and freshly ground pepper to taste,Salt pepper
1/4 teaspoon cumin,cumin
1 cup precooked rice (any kind will do),rice
1 cup cooked lentils (1/2 cup uncooked),lentils
1 cup diced onion,onion
3 tablespoons extra virgin olive oil,olive oil
Pickled ginger for garnish,Pickled ginger
Smoked salmon for garnish,salmon
1/2 teaspoon nutmeg,nutmeg
Canola or other vegetable oil for frying,oil
1 teaspoon ground cardamom,cardamom
3/4 teaspoon lemon zest,lemon
3 tablespoons snipped dill,dill
3 tablespoons matzoh meal,matzoh meal
1 tablespoon sour cream,cream
1 large egg,egg
1/2 cup toasted chopped pecans,pecans
1/2 cup cooked wild rice,rice
Salt and freshly ground pepper to taste,Salt pepper
1 teaspoon thyme,thyme
"10 ounces white mushrooms, sliced",mushrooms
3 tablespoons extra virgin olive oil,olive oil
"1/2 cup bread crumbs or matzoh meal, plus 1/3 cup for coating",bread crumbs
Salt and freshly ground pepper to taste,Salt pepper
1/3 cup Parmesan cheese,Parmesan cheese
2 large eggs,eggs
"1/2 bunch cilantro (about 1 cup), diced",cilantro
1/3 cup pine nuts,pine nuts
"4 shallots, peeled and diced",shallots
"6 cloves garlic, or to taste, peeled and diced",garlic
"1 large onion, peeled and diced",onion
6 leeks (about 2 pounds),leeks
"2 tablespoons extra virgin olive oil, plus more for frying",olive oil
1 1/2 cups milk,milk
"3 eggs, separated",eggs
1/2 cup sugar,sugar
3 teaspoons vanilla extract,vanilla
1/2 cup molasses,molasses
1/2 cup buttermilk,buttermilk
2 whole eggs,eggs
1 cup light-brown sugar,light sugar
"1/2 pound butter, softened",butter
1/4 teaspoon salt,salt
1/2 teaspoon ground allspice,allspice
1 teaspoon cinnamon,cinnamon
1/2 teaspoon ground cloves,cloves
1 1/2 teaspoons ground ginger,ginger
1 teaspoon baking powder, 
1 1/4 cups flour,flour
1 tablespoon apricot eau de vie or Calvados,apricot eau de vie
1/2 cup apricot preserves,apricot preserves
1/4 cup sugar,sugar
"2 tablespoons milk, approximately",milk
2 teaspoons fresh lemon juice,lemon
"4 Granny Smith apples, peeled, cored and sliced 1/8 inch thick",Granny Smith apples
1 1/2 teaspoons cider vinegar,cider vinegar
1 1/2 tablespoons ice water,water
3 ounces cream cheese,cream cheese
1/4 teaspoon salt,salt
1 1/3 cups plus 4 teaspoons pastry flour,pastry flour
10 tablespoons unsalted butter,butter
Maraschino cherry,Maraschino cherry
Dash of bitters,bitters
5 ounces Champagne,Champagne
Dash or 2 of maraschino cherry juice,maraschino cherry
1 ounce Chambord,Chambord
1/2 ounce dry vermouth,vermouth
1/2 ounce fresh or Rose's lime,lime
"Extra virgin olive oil, for garnish",olive oil
"Finely sliced onion, for garnish",onion
"Coarsely chopped fresh mint leaves, for garnish",mint leaves
"Pine nuts, for garnish",Pine nuts
Salt,Salt
2 tablespoons finely chopped basil leaves,basil leaves
1 1/2 teaspoons freshly ground black pepper,black pepper
1 1/2 teaspoons ground cinnamon,cinnamon
"Half an onion, finely grated",onion
Finely grated zest of 1 lime,lime
"1 pound lean boneless high-quality lamb or goat, ground twice (ask the butcher to do this)",lamb
3/4 cup bulgur wheat,bulgur wheat
2 unbaked 9-inch pie shells,pie shell
1 cup heavy cream,cream
1 cup whole milk (do not use low-fat),milk
3 eggs,eggs
1 29-ounce can pumpkin puree,pumpkin
2 teaspoons kosher salt,Koarse salt
1/4 teaspoon ground clove,clove
1 teaspoon ground cardamom,cardamom
1 teaspoon ground ginger,ginger
1 tablespoon ground cinnamon,cinnamon
1 1/3 cups sugar,sugar
1/3 cup praline paste (available at fancy food shops),praline
1 clove garlic minced (green part removed),garlic
"2 pounds string beans, trimmed",string beans
1/8 teaspoon ground nutmeg,nutmeg
1 teaspoon dried thyme,thyme
3/4 teaspoon freshly ground white pepper,pepper
2 teaspoons salt,salt
1 pound white fettuccine,fettuccine
1/2 pound spinach fettuccine,spinach fettuccine
6 eggs,eggs
"4 medium shallots, peeled and cut into thin strips",shallots
3 tablespoons olive oil,olive oil
"2 heads garlic, cloves separated but not peeled",garlic
Maple syrup to taste (about 1 1/2 tablespoons),Maple syrup
2 teaspoons seeded and chopped jalapeno pepper,jalapeno pepper
2 teaspoons chopped fresh cilantro,cilantro
2 teaspoons grated fresh ginger,ginger
"1 cup whole, fresh cranberries",cranberries
1 orange,orange
"1 cup toasted walnuts, chopped",walnuts
Salt and freshly ground black pepper to taste,Salt black pepper
1 tablespoon snipped chives,chives
4 tablespoons walnut oil,walnut oil
2 tablespoons cider vinegar,cider vinegar
"3 bunches watercress, washed and stems removed",watercress
"1 medium jicama (about 1 pound), peeled and julienned",jicama
"1 8-inch loaf brioche, ends trimmed off, cut into slices 1/4-inch thick",brioche
2 1 1/2-pound lobsters,lobsters
1 1/2 teaspoons unsalted butter,butter
"1 shallot, peeled and minced",shallot
"1 1/2 cups shiitake mushrooms, stemmed and cut into 1/4-inch cubes",shiitake mushrooms
Salt and freshly ground pepper to taste,Salt pepper
2 1/2 tablespoons sevruga caviar,sevruga caviar
"3 large pears, peeled, cored and cut in julienne",pears
"1 egg, beaten",egg
Salt to taste,Salt
1 cup chilled chicken broth,chicken
1/2 teaspoon ground coriander seeds,coriander seeds
1/2 teaspoon ground cumin,cumin
1 teaspoon finely chopped fresh sage,sage
1 tablespoon chili powder,chili
"1 to 2 jalapeno peppers, chopped fine",jalapeno peppers
1 tablespoon finely chopped fresh cilantro,cilantro
"2 cloves garlic, peeled and minced",garlic
"1 rib celery, trimmed and cut into 1/4-inch pieces",celery rib
1/3 cup diced roasted red pepper,pepper
"1 small onion, peeled and diced into 1/4-inch pieces",onion
1 cup dried corn bread crumbs,corn bread crumbs
"8 flour tortillas, cut into thirds and then across into 1/4-inch strips",flour tortillas
Vegetable oil,vegetable oil
"8 corn tortillas, cut into thirds and then across into 1/4-inch strips",corn tortillas
3/4 cup chopped pecans,pecans
1/2 cup dark brown sugar,dark sugar
"3 tablespoons unsalted butter, softened slightly",butter
1/2 teaspoon salt,salt
1 teaspoon vanilla extract,vanilla
"3 1/2 tablespoons unsalted butter, melted",butter
1/4 cup orange juice,orange
1/4 cup heavy cream or whole milk,cream
4 medium-large sweet potatoes (about 3 pounds),potatoes
6 tablespoons brown sugar,sugar
"1/4 cup chopped walnuts, toasted",walnuts
1/4 teaspoon freshly grated black pepper,black pepper
Kosher salt to taste,Kosher salt
1 tablespoon fresh lemon juice or to taste,lemon
4 cups chicken broth,chicken
"1 small apple, peeled, cored and diced",apple
Pinch ground allspice,allspice
1 tablespoon chopped fresh sage or 1 teaspoon dried,sage
"1 medium onion, peeled and coarsely chopped",onion
2 tablespoons unsalted butter,butter
"2 pounds winter squash (like acorn or Hubbard), halved and seeded",winter squash
1 750-milliliter bottle dry red wine,wine
1 teaspoon ground nutmeg,nutmeg
1 bay leaf,bay
1 cinnamon stick,cinnamon
1/4 cup plus 2 tablespoons sugar,sugar
1/2 teaspoon freshly ground black pepper,black pepper
"1 tablespoon salt, plus more to taste",salt
1/2 cup red currant jelly,currant jelly
1/2 cup golden raisins,golden raisins
4 cloves,cloves
8 black peppercorns,black peppercorns
"1 large Bartlett pear, peeled, cored and grated",Bartlett pear
"2 McIntosh or Granny Smith apples, peeled, cored and grated",apples
"1 medium onion, peeled and grated",onion
"2 pounds red cabbage, cored and finely shredded",cabbage
1 tablespoon wine vinegar,wine vinegar
Salt and pepper to taste,Salt pepper
3 tablespoons dry sherry,sherry
1/2 cup pearled barley,pearled barley
6 cups no-salt-added beef broth or stock,nosaltadded beef
"1/2 pound shiitake, cremini, portobello or other mushrooms, washed, trimmed and coarsely cut","shiitake mushrooms, washed,"
"1/2 pound white mushrooms, washed, trimmed and coarsely cut","mushrooms, washed,"
"2 cloves garlic, minced","garlic,"
"1 medium carrot, diced","carrot,"
"1 medium onion, diced","onion,"
2 tablespoons oil,oil
1/3 cup dried mushrooms like porcini,mushrooms like porcini
1 cup milk,milk
"1/2 pound suet, finely grated",suet
1 3/4 cups dried currants,currants
1/4 teaspoon ground nutmeg,nutmeg
"2 eggs, lightly beaten",eggs
1 1/2 teaspoons ground cinnamon,cinnamon
1/2 teaspoon salt,salt
1/4 cup sugar,sugar
4 cups flour,flour
"Cinnamon stick or other flavoring, optional",Cinnamon
4 cups milk,milk
"Pinch saffron, optional",saffron
Pinch salt,salt
1/2 cup sugar,sugar
1/4 to 1/3 cup rice,rice
1 teaspoon vanilla extract,vanilla
1 cup half-and-half,halfandhalf
8 large eggs,eggs
2 cups milk,milk
2 cups sugar,sugar
Salt to taste,Salt
"2 teaspoons lime juice, or to taste",lime
1/2 teaspoon sugar,sugar
"2 scallions, finely chopped",scallions
"1/2 cup fresh cilantro, chopped",cilantro
1 clove garlic,garlic
1/2 small onion,onion
2 or 3 jalapenos,jalapenos
5 tomatoes,tomatoes
"5 tomatillos, husks removed",tomatillos
"About 26 large corn husks, soaked in water for 30 minutes",corn husks
"4 1/2 cups chicken stock, reserved from cooking the chicken",chicken
1 1/2 cups melted vegetable shortening,vegetable shortening
5 teaspoons salt,salt
7 cups masa harina,masa harina
2 tablespoons fresh thyme leaves,thyme leaves
"1/2 cup fresh basil leaves, chopped",basil leaves
"1 cup canned jalapeno peppers, cut into thin strips",jalapeno peppers
"2 15-ounce cans (about 3 cups) mixed vegetables, drained",mixed vegetables
"2 cups Spanish olives, halved",olives
Freshly ground black pepper to taste,black pepper
"1/2 teaspoon salt, plus more to taste",salt
"2 tomatoes, chopped",tomatoes
"1 small onion, chopped",onion
"4 cloves garlic, minced",garlic
"1 1/2 cups all-purpose, unbleached white flour",flour
1/4 cup sugar,sugar
1/4 cup extra-virgin olive oil,olive oil
Freshly ground black pepper to taste,black pepper
1 teaspoon salt,salt
2 cloves garlic,garlic
1/2 small onion,onion
"2 ribs celery, chopped",celery rib
"1 small potato, peeled and quartered",potato
"1 carrot, peeled and chopped",carrot
"2 1/2 pounds boneless, skinless chicken thighs",chicken thighs
French bread for serving,bread
Salt to taste,Salt
2 teaspoons Tabasco sauce,Tabasco
1/2 cup lime juice,lime
"2 pounds medium or large shrimp, peeled, deveined and split in half",shrimp
"8 cloves garlic, peeled and thinly sliced",garlic
3 tablespoons unsalted butter,butter
1/4 cup olive oil,olive oil
1/2 cup chopped cilantro,cilantro
Tabasco sauce,Tabasco
1 tablespoon lime juice,lime
3/4 teaspoon salt,salt
Freshly ground black pepper to taste,black pepper
1 teaspoon Worcestershire sauce,Worcestershire
"1 large tomato, chopped",tomato
"2 large garlic cloves, peeled and chopped",garlic
"1 white onion, chopped",onion
1 tablespoon unsalted butter,butter
2 tablespoons olive oil,olive oil
"4 strips bacon, diced",bacon
"24 large clams, scrubbed and rinsed",clams
2 cups white wine,wine
1 cup raisins,raisins
"1 cup blanched, slivered almonds","almonds,"
1 cinnamon stick,cinnamon
12 allspice berries,allspice berries
4 cardamom pods,cardamom pods
12 whole cloves,cloves
5 tablespoons sugar,sugar
1 750-milliliter bottle ruby Port,750milliliter ruby Port
2 750-milliliter bottles dry red wine,750milliliter wine
1 quart akvavit,akvavit
About 45 whole cloves,cloves
1 egg yolk blended with 1 tablespoon milk,egg yolk
1/2 cup milk,milk
1/2 teaspoon salt,salt
2 teaspoons baking powder, 
4 cups flour,flour
Grated rind of 2 large lemons,rind 2 lemons
Grated rind of 2 large oranges,rind 2 oranges
3 extra-large eggs,eggs
1 cup sugar,sugar
1 cup (2 sticks) unsalted butter,butter
Salt and freshly ground black pepper to taste,Salt black pepper
Tabasco to taste,Tabasco
3 tablespoons finely diced red onion,onion
1 teaspoon finely chopped fresh rosemary,rosemary
1/4 pound smoked tuna,tuna
3 tablespoons extra-virgin olive oil,extravirgin olive oil
1/2 teaspoon salt,salt
1 19-ounce can cannellini beans,cannellini beans
1/2 teaspoon dry mustard,mustard
"1/2 teaspoon cayenne pepper, or to taste",cayenne pepper
1 cup flour,flour
1/2 teaspoon Worcestershire sauce,Worcestershire
2 cups shredded sharp Cheddar cheese,Cheddar cheese
"1/2 cup unsalted butter, softened",butter
1/2 cup sesame seeds,sesame seeds
"1/2 of a 1-pound package of phyllo dough, thawed",dough
"1 1/2 cups (3 sticks) unsalted butter, melted",butter
1 egg,egg
Salt and freshly ground black pepper to taste,Salt black pepper
1/2 cup grated Parmesan cheese,Parmesan cheese
1 1/2 cups grated Gruyere cheese,Gruyere cheese
1/8 teaspoon cayenne,cayenne
1/4 teaspoon dried rosemary,rosemary
1/4 cup dry white wine,wine
"1 medium red bell pepper, cored and finely diced",pepper
"1 medium onion, peeled and finely diced",onion
1/4 cup pine nuts,pine nuts
3 tablespoons olive oil,olive oil
"1 clove garlic, peeled and minced",garlic
Round tortilla chips,tortilla chips
"2 bunches fresh young kale or mustard greens, about 1 pound",kale
Salt and freshly ground black pepper to taste,Salt black pepper
1/4 cup apple cider vinegar,apple cider vinegar
1/4 cup fresh lime juice,lime
1/2 cup corn oil,corn oil
1/4 cup chopped fresh cilantro,cilantro
"2 to 3 jalapeno peppers, seeded and minced",jalapeno peppers
"4 scallions, green parts only, minced",scallions
2 16-ounce cans black-eyed peas,peas
Fresh or crystallized mint,mint
"1/4 pound unsalted butter, softened",butter
8 ounces semisweet chocolate,chocolate
"12 firm, ripe pears with stems",pears
1/4 cup creme de menthe,creme de menthe
8 whole cloves,cloves
4 cinnamon sticks,cinnamon
Juice of 2 lemons,lemons
8 cups water,water
2 cups sugar,sugar
"7 1/2 cups apple cider, preferably fresh",apple cider
3/4 cup minced parsley,parsley
1/2 teaspoon dried rosemary or 1 1/2 teaspoons fresh rosemary,rosemary
1 1/2 cups chopped celery,celery
1 cup chopped onion,onion
1 tablespoon grated orange peel,orange peel
Salt and freshly ground black pepper to taste,Salt black pepper
3 cups brown rice,rice
1 teaspoon nutmeg,nutmeg
1/2 pound butter,butter
Salt and freshly ground black pepper to taste,Salt black pepper
1/2 cup sweet butter,butter
1 3/4 cups milk,milk
4 1/2 pounds broccoli,broccoli
6 tablespoons butter,butter
1/2 cup vegetable oil,vegetable oil
3 large heads Boston lettuce,Boston lettuce
6 tablespoons vegetable oil,vegetable oil
A few dashes white pepper,pepper
3 tablespoons white vinegar,vinegar
1 teaspoon finely chopped garlic,garlic
"3 small red onions, finely sliced",onions
"3 medium onions, thinly sliced and separated into rings",onions
"4 1/2 pounds strip steak or filet mignon, completely trimmed of fat and cut into 3/4-inch cubes",mignon
Freshly ground white pepper to taste,pepper
"3 tablespoons imported light Chinese soy sauce, or Japanese soy sauce",soy
3 tablespoons Maggi sauce,Maggi
3 tablespoons finely chopped shallots,shallots
1 tablespoon chopped garlic,garlic
5 tablespoons pine nuts,pine nuts
Dill sprigs for garnish,Dill sprigs
1/3 cup chopped fresh dill,dill
4 1/2 teaspoons Dijon mustard,Dijon mustard
1 1/2 teaspoon sugar,sugar
"1 large white onion, cut up",onion
6 tablespoons white vinegar,vinegar
2 cloves garlic,garlic
3/4 cup vegetable oil,vegetable oil
"30 blanched snow peas, cut in half",snow peas
6 cups shredded iceberg lettuce,iceberg lettuce
White pepper to taste,pepper
1 1/2 cups lemon juice,lemon
Fleur de sel,Fleur de sel
3 pounds scallops,scallops
1/2 cup black truffle juice (optional),black truffle
1 tablespoon minced chives,chives
4 1-inch-thick chunks peeled fresh ginger,ginger
1 cup red wine,wine
